"system","system_name","AlgI","AlgII","BioI","Chemistry","ELA","EngI","EngII","EngIII","Math","Science","Enrollment","Pct_Black","Pct_Hispanic","Pct_Native_American","Pct_EL","Pct_SWD","Pct_ED","Per_Pupil_Expenditures","Pct_BHN","ACT_composite","Pct_Chronically_Absent","Pct_Suspended","Pct_Expelled","Graduation","Dropout","CORE_region"
720,"Rhea County",75.8,56,62.3,55.6,47.5,71.3,68.8,48.1,59.8,66.8,4174,2.1,7.7,0.4,2.9,12,70.1,9006,10.2,18.6,19.8,3.9,0,85.3,5.9,"Southeast CORE"
721,"Dayton City",91.7,NA,NA,NA,47.5,NA,NA,NA,47.4,70,788,6.4,11.3,0.1,6,14,54.5,8556.7,17.8,NA,11.8,0.9,0,NA,NA,"Southeast CORE"
730,"Roane County",70.1,54.2,65.9,52.5,48.3,74.3,65.2,40.1,53.4,70.9,6593,5.2,1.8,0.6,0,17.3,60.2,8960,7.6,19,NA,0.1,0,92.8,4.8,"East TN CORE"
740,"Robertson County",73.3,58.5,65.4,42.4,47.5,78.3,67.7,42.3,55.5,58.1,11001,11.3,12.1,0.2,6.6,15.3,51.6,8077.1,23.6,19.4,10.3,4.7,0,95.1,3.3,"Mid Cumberland CORE"
750,"Rutherford County",74.6,59.9,73,59.9,58.7,79.6,72,48.1,64.9,76.9,40841,18.6,11.6,0.2,5.9,11,39.7,8237.1,30.4,19.9,20.5,4.2,0.3,92.5,4.5,"Mid Cumberland CORE"
751,"Murfreesboro City",NA,NA,NA,NA,49.2,NA,NA,NA,62,60.2,7411,28.5,12.4,0.4,8.1,14.9,52.8,9354.9,41.3,NA,2.4,1.1,0,NA,NA,"Mid Cumberland CORE"
760,"Scott County",55,35.4,52,19.5,41.6,67.5,53.2,37.1,42.1,54.6,2849,0.3,1.3,0.2,0,13.3,86.8,8241.7,1.8,16.8,9.4,3.3,0.2,85.4,9.9,"East TN CORE"
761,"Oneida Special School District",74.1,78.4,86.5,42.1,47.9,85.4,69,59.4,48.9,63.1,1221,0.7,0.5,0.2,0,10.1,63.5,8405.5,1.4,19.4,4.2,0,0,98.8,1.2,"East TN CORE"
770,"Sequatchie County",67.7,46.1,77.8,27.3,38.2,71.2,69.1,30.1,47.7,54.3,2166,0.6,5,1.2,1.6,17.5,68.1,7904.6,6.8,19.4,18.6,2.5,0.3,85.6,13,"Southeast CORE"
780,"Sevier County",66,48.5,63.7,48.4,43.3,69.1,65.5,48.7,47.3,62.9,14024,2,8.9,0.4,5.2,14.4,63.3,9614.4,11.3,20.3,19.5,1.4,0,86.2,10.4,"East TN CORE"
792,"Shelby County",59.3,37.3,42.8,23.7,33,55.4,48.9,24,39.8,47.8,108936,78.4,11.3,0.1,8.3,12.9,79.8,11221.6,89.8,16.9,17.5,18.5,0.8,72.1,17.6,"Southwest/Memphis CORE"
793,"Arlington City",88,66.9,82.5,49.8,75.7,88.8,78.1,50.7,75.1,88.3,4819,16,5.3,0.4,2.2,11,13.9,7705.1,21.7,21.1,7.9,2.3,0.1,94,4.4,"Southwest/Memphis CORE"
